ID,CALL,CN,TYPE
064AD4C5,SE-UFE,FE,Discus
06A4AC87,N40Z,FE,DG-400
06C82A46,ZK-GFE,FE,Discus 2cFES
06D00532,D-KTEL,FE,EB 29
06D01179,D-KOFE,FE,Ventus ct
06D012B0,DKKFE,FE,EB29R
06D0293B,D-3968,FE,Duo Discus
06D02A46,D-5409,FE,ASG-29
06DDBBCA,F-CJFE,FE,Janus CT
06DDC118,D-KDFE,FE,SF-25
06DDDB2C,SE-UFE,FE,Discus
06DDDCA1,F-CHFE,FE,Pegase
06DDE820,F-JBFE,FE,Sensation
06DDEE34,D-5409,FE,ASG-29
06DF20A3,D-8036,FE,Discus 2
06DF2285,D-2833,FE,LS-4
06050891,HB-3352,EY,LS-8 18
06160822,D-2076,EY,Duo Discus xl
063E797C,D-KLEY,EY,Arcus M
063FF171,,EY,Flight Design CTSW
063FF9F2,D-MOEY,EY,WT9 Dynamic
064AD4B9,SE-UEY,EY,Discus
06D015F0,OK-1881,EY,Arcus M
06D02953,D-9908,EY,Ventus 2
06DDC096,D-9908,EY,Ventus 2
06DDDBFD,F-CHEY,EY,Pegase
06DDE276,F-CICC,EY,PW-5
06DDEDC5,D-KMIA,EY,Arcus M
06DDEF5A,,EY,ASW-20
06DDEFD4,D-KAEY,EY,Discus 2cT
06DDF0AD,D-1816,EY,Discus
06DF0BD3,D-KOEY,EY,Ventus 2cxM
0620027A,CH50627,SG,Paraglider
0639895B,F-CAHQ,SG,LS-4
063D238E,D-ELSG,SG,DR-400
063E5DCA,D-KASG,SG,Ventus 2cxM
063E685A,D-KESG,SG,AS 33
063E6DA2,D-KGSG,SG,HK36 Super Dimona
063E744C,D-KJFW,SG,ASW-28 18
063E7AD6,D-KLSG,SG,Arcus M
063EE35C,D-0709,SG,Ka-6 e
063EE3C7,D-0816,SG,LS-6
063EFBBA,D-6947,SG,Discus
063FF19D,D-MISG,SG,UFO
0648515D,PH-1552,SG,ASK-21
064B4F20,HB-2681,SG,Twin Shark
067C20EE,GSG,SG,Mosquito
06A07A6F,N13SG,SG,Discus
06A207BE,N23SG,SG,Discus
06A2DE6E,N284SG,SG,JS-3 18M RES
06C02977,C-FPSG,SG,ASW-24 E
06D00764,SG,SG,ASW-20
06D00D15,D-7354,SG,LS-4
06DD4EA8,ZS-GYS,SG,Speed Astir II
06DD873E,D-KTSG,SG,Discus t
06DD9C51,D-0709,SG,Ka-6 e
06DDA642,D-EASG,SG,DR-400
06DDB080,D-2936,SG,Twin Astir III
06DDB0DF,F-CGSG,SG,Pegase
06DDB0F2,F-CGSU,SG,Pegase
06DDB136,F-CPSG,SG,DG-600
06DDBD9A,G-VSGG,SG,Ventus 2
06DDC0EC,SE-SSG,SG,Duo Discus t
06DDC43C,D-ELSG,SG,DR-400
06DDD8DB,F-CHSG,SG,Crystal
06DDE2BA,OY-SXG,SG,Discus
06DDEC5C,D-KASG,SG,Ventus 2cxM
06DDFB5E,F-CHSG,SG,Crystal
06DF015A,N23SG,SG,Discus
06DF123B,D-7275,SG,Astir CS
06DF22C7,F-CAHQ,SG,LS-4 W
06DF2436,D-KYSG,SG,Arcus M
06DF2614,D-3407,SG,Duo Discus x
061A8658,RP,RP,Unknown
0640524E,G-CERP,RP,Pegasus
0640759E,,RP,ASH-31 MI
0648661E,PH-1682,RP,Glasflugel 304
064B51A5,HB-3326,RP,ASH-25
06D008A7,GEP,RP,SZD-56-2 Diana 2
06DDA3B1,D-7619,RP,ASW-19
06DDADFC,D-2502,RP,Duo Discus
06DDEEC9,D-1169,RP,Kestrel
06FD0C97,VH-GEP,RP,SZD-56-2 Diana 2
06FD51BA,RP,RP,UFO
06FD6236,RP,RP,UFO
06FD6CF0,RP,RP,Unknown
06000555,CSKYFLY,73,Drone/UAV
063EE512,D-1147,73,Discus 2
06407E92,G-DMBC,73,AS 33
06476258,TMN,73,Paraglider
064839B7,4839B7,73,HangGlider
066CAC48,IGC-073,73,UFO
06D00DE8,D-KATV,73,JS-3 18M
06DD8777,D-1147,73,Discus 2
06DD9412,OK-7873,73,Astir CS
06DD986B,D-4273,73,Astir CS
06DD9BBF,,73,SF-28
06DDAA14,F-CSVA,73,ASH-25
06DDD447,D-2373,73,ASK-13
06DDDA9B,OO-YJD,73,Astir Jeans
06DDDC25,D-2373,73,ASK-13
06EE86E9,LV-DNJ,73,Astir CS-77
063E5F06,D-KBEK,EK,HK36 Super Dimona
063E69A3,OY-KEX,EK,Ventus 3T
063E796E,D-KLEK,EK,ASH-31 MI
063FEDE9,D-MZEK,EK,WT9 Dynamic
063FFAF3,D-MYEK,EK,WT9 Dynamic
06405280,OO-YEK,EK,Pegase
0645ACB8,OY-KEX,EK,Ventus 3T
06484DF7,PH-260,EK,Ka-6 cr
06D00919,EC-CEK,EK,MS-893 Commodore
06DD81FE,OK-6252,EK,DG-200
06DD8F11,D0724,EK,LS-4 W
06DD9E74,D-2267,EK,Calif A21S
06DDAE07,D-MWEK,EK,WT9 Dynamic
06DDB188,F-CHEK,EK,Pegase
06DDD945,OK-7678,EK,Ventus 2cxT
06DDDE5C,om-4444,EK,Ventus 2cxT
06DF0C44,OO-YEK,EK,Pegase
06110C90,Lemmix,LX,Paraglider
063840BB,F-CGLX,LX,Ventus 2
0644E598,OO-YLX,LX,LS-4
06D00166,D-KBAS,LX,ASG-32 MI
06DD4EB5,D-8982,LX,LS-1 f
06DD825E,D-3958,LX,Duo Discus
06DD82AB,LN-GLX,LX,Twin Astir II
06DD8725,D-5531,LX,SZD-42 Jantar 2/2b
06DD9478,D-3639,LX,SZD-24 Foka
06DDBC91,ACH,LX,UFO
06DDDCF2,S5-3052,LX,DG-100
06DDEB5A,D-KAXZ,LX,JS-3 18M
06DDEB7D,D-6488,LX,ASW-24
06DDEBBE,D-9663,LX,Ventus 2CXa
06DDEEB3,ZS-GKX,LX,JS-1 Revelation
06DDEF8B,F-CFLX,LX,ASW-20
06DDF065,S5-3052,LX,DG-100
06DF2148,D-3952,LX,DG-300
06F4D53B,SP-3227,LX,SZD-48-1 Jantar Std 2
061110B6,Matthia,MM,Paraglider
063ED0F5,D-KUCB,MM,Ventus 2cxT
063ED4A8,D-KMVMM,MM,Ventus 3M
063F4F76,OK-NIC,MM,UFO
063FEFF7,D-MGMM,MM,Ultralight
064021AD,G-EHMM,MM,DR-400
064043E8,G-BZMM,MM,DR-400
06404F94,G-OASW,MM,ASW-27
064D0373,LX-CMM,MM,JS-3 18M
0669A420,D-9419,MM,Mosquito
067C2000,GMM,MM,Ventus 3M
06A06ED2,N127MM,MM,ASW-27
06D00175,EC-CUI,MM,Cirrus Std
06D008C1,D-KYMM,MM,JS-3 18M
06D00C86,D-KLXM,MM,JS-3 15M
06D00CDC,D-KSMM,MM,JS-3 18M
06D00DBA,D-KWMM,MM,Arcus M
06D027F1,S5-3069,MM,DG-300
06D02B84,HA-3457,MM,Astir CS
06DD4F37,D-1582,MM,ASW-24
06DD5317,LV-ENX,MM,Ventus ct
06DD8404,D-2462,MM,Libelle Club
06DD88DF,D-KBHS,MM,ASW-22 BL
06DD8D37,LV-EOP,MM,SZD-48-3 Jantar Std 3
06DD97EB,OK-3123,MM,LS-6 18
06DD9964,D-KCMM,MM,Nimbus 3DM
06DDACE5,D-3403,MM,Glasflugel 304
06DDAF5A,D-KOSR,MM,Ventus bT
06DDBAA8,G-OASW,MM,ASW-27
06DDBB58,D-3480,MM,Ventus c
06DDBC93,,MM,Taurus
06DDDD80,OK-8430,MM,VT-116 Orlik II
06DDDEFE,OO-YLM,MM,Ventus 2bx
06DDEB43,D-KPMM,MM,Duo Discus t
06DDEF2B,ZS-GIY,MM,JS-1 Revelation
06DDF0F8,OO-YLM,MM,Ventus 2bx
06DDF0FF,OO-YLM,MM,Ventus 2bx
06DF296A,D-3403,MM,Glasflugel 304
06115A45,Falkao,M7,Paraglider
061EBC4B,D-8113,M7,ASG-29
062BAF5C,OM-5601,M7,VSO-10
064054F8,G-DETM,M7,Pegase
064849C7,PH-1348,M7,LS-8
06C05FDB,C-GKHU,M7,ASW-24
06DD4F06,S5-3038,M7,DG-100
06DD9584,OE-5635,M7,ASW-24
06DDA6FF,D-8636,M7,Libelle Std
06DDAEB0,D-4147,M7,Ventus c
06DDD93F,D-8113,M7,ASG-29
060091C7,ZS-GSK,VV,JS-1 C21
060CCF3E,F-GBVV,VV,DR-400
06400EF2,G-BYVV,VV,Motorplane
0649B09A,OK-6475,VV,Ventus
06A49B09,OK-6475,VV,Ventus
06C07BB0,C-GUVV,VV,ASG-29E
06C820BE,ZK-GVV,VV,Ventus 2
06D00229,D-KCVV,VV,H36 Dimona
06D0039A,D-KKCH,VV,Ventus cM
06D009BF,D-2111,VV,Ventus 2
06DD5019,Sp,VV,LS-6
06DD9834,F-CMVV,VV,Janus B
06DDBC33,D-4990,VV,Mini Nimbus
06DDC2C2,D-3542,VV,LS-4
06DDE4AE,SENASA1,VV,Twin Astir II
06DDEE46,OK-2530,VV,Ventus c
06DDF005,,VV,LS-6
06DF148C,D-7613,VV,Duo Discus
0657FD27,HA-BHB,HAB,Cessna 172
06C00EAA,,HAB,JS-3 15M
0638B61B,F-CPFV,AX,Discus 2
063E5241,D-5241,AX,ASW-24
063E693B,D-KFAX,AX,Arcus T
063ED9E4,D-KXMA,AX,JS-3 18M RES
064B49FB,G-FLAX,AX,Supermarine Spitfire
06A1DF2B,N22FF,AX,Cirrus Std
06D01377,,AX,Discus 2c
06D01F8A,D-KTAX,AX,Duo Discus xlt
06D02580,I-ITAX,AX,DR-400
06D0F0EE,D-KJTM,AX,JS-3 18M
06DD8625,OK-5087,AX,Astir CS
06DD86BC,D-MHAX,AX,WT9 Dynamic
06DD896D,PH-1118,AX,Ventus ct
06DD9549,D-KCAX,AX,RF 5 b
06DDA468,D-1073,AX,DG-1000
06DDA4B3,D-1073,AX,DG-1000
06DDA678,F-JCAX,AX,Tetra-15
06DDACCD,,AX,LS-1 d
06DDAD8C,D-0171,AX,LS-4
06DDB060,F-CEAX,AX,ASK-13
06DDB0F0,F-CCAX,AX,Zugvogel IIIb
06DDDEB0,D-4975,AX,Ventus 2CXa
06DDEC9E,HB-2482,AX,Arcus M
06DDEFB9,OK-0007,AX,Ventus 2
06DDF0EE,D-KSTM,AX,JS-3 18M
06C8166C,ZK-GRY,RY,Ventus 2ct
06D00C04,D-KDRY,RY,JS-3 18M
06DD9519,F-GORY,RY,DR-400
06DDAB42,D-0822,RY,ASK-21
06DDB05D,D-6871,RY,LS-7
06DDB965,F-CGRY,RY,DG-800
06DDBCB0,F-CGRY,RY,DG-800
06DDD265,F-CGRY,RY,DG-800
06DF2464,UR-LIFT,RY,SZD-48-3 Jantar Std 3
06111D83,BenBar,BB,Paraglider
06113E8A,BBNV,BB,Paraglider
0626BA16,BREB,BB,Cessna 152
063E6153,D-KCBB,BB,PIK-20 E
063E669B,D-KEBB,BB,EB 29 D
063ECE37,D-KTBB,BB,DG-800
063EFA77,D-6624,BB,ASW-20
0640538F,,BB,ASH-25
0644BC7C,N304CB,BB,HPH 304C
067C1E85,VH-GBB,BB,AS 33
067C2EF9,VH-JKB,BB,JS-3 18M
06A32E62,N304CB,BB,HPH 304C
06AB4AF7,N827BB,BB,ASW-27
06AB5875,N830BB,BB,ASH-31 MI
06D00487,VH-GBB,BB,JS-3 18M
06D008C2,G-CBBB,BB,ASH-25
06D0092D,D-KAAQ,BB,HPH 304S Shark
06D00FB8,D-KUBB,BB,Duo Discus xlt
06D01001,D-KEBB,BB,EB 29 D
06D0100B,D-KJBB,BB,Duo Discus xlt
06D010B6,D-KBRM,BB,Discus 2cT
06D02B81,SP-3697,BB,SZD-56-2 Diana 2
06DD8723,D-4662,BB,DG-300
06DD873A,D-KNBB,BB,Discus 2cT
06DD8F09,D-KIBB,BB,Duo Discus t
06DDADE3,D-5043,BB,IS-28B2
06DDBCDF,D-0312,BB,Kestrel
06DDD856,F-CGBB,BB,Pegase
06DDDC47,OY-SMX,BB,LS-1 f
06DDF052,EC-OGX,BB,ASH-25
06DDF933,SP-3918,BB,LS-6
06DDF992,F-CJBB,BB,Alliance 34
06DF0856,I-ITBB,BB,DR-400
06DF2489,D-1507,BB,LS-8a
06FD786F,,BB,Cirrus Std
06FD7D9D,BB,BB,Other
063ECF14,D-KTJO,3J,HPH 304S Shark
063F02B4,D-8733,3J,Duo Discus
06D01387,D-KXBL,3J,JS-3 18M
06DD9804,D-8933,3J,LS-1 f
0654121C,OK-1106,L7,VSO-10
06D025D5,D-1713,L7,LS-7
06D02625,G-CJBO,L7,LS-8 st 18
06DD532E,OK-7567,L7,ASW-19
