ID,CALL,CN,TYPE
06FD66E1,JB,JB,Unknown
06D00DC4,F-CGDX,JPA,Discus 2
06D02C3D,F-CFDX,JPA,Discus 2
063D0512,D-EAEC,EC,DR-300
064854B7,PH-1678,EC,Discus 2cT
06D001D7,D-2570,EC,LS-3
06D025E0,OY-EXC,EC,LS-8a
06DD503A,G-CFXY,EC,ASW-15
06DD89B9,D-KGGG,EC,DG-300
06DDA4B8,F-CHHR,EC,Astir CS-77
06DDA4D6,F-CBEC,EC,Duo Discus
06DDA579,D 7168,EC,Discus
06DDC3AB,F-CEDV,EC,Ventus
06DDC4AC,D-KFEC,EC,SF-25
06DDD494,EC,EC,Pegase
06DDD977,OY-EXC,EC,LS-8a
06112BCC,Franc,CE,Paraglider
063E7690,D-KKCE,CE,LS-8 st
063EF22B,D-4500,CE,Speed Astir II
064B4E99,HB-2546,CE,ASG-29E
064B515E,HB-3255,CE,LS-8 18
06A2A45A,N27CE,CE,ASW-27
06D00087,S5-3055,CE,DG-300
06D0260D,F-CECE,CE,Ka-6 e
06DD9C82,D-EHCE,CE,Husky A-1
06DDB1A4,D-KACE,CE,Ventus 2cM
06DDBC79,F-CGCE,CE,ASH-25
06DDC28C,D-KFCE,CE,SF-25
06DDD888,F-CICE,CE,PW-5
06DDEF54,D-KWSD,CE,DG-600
06DDEFA0,OY-CXE,CE,ASH-31 MI
06DDF076,D-0567,CE,LS-4
06DF0446,D-KUCE,CE,DG-600
063E6B63,D-KFWD,WD,DG-808 B
06400EB9,G-BYWD,WD,Motorplane
06A8B3D8,N66WD,WD,LS-4
06C81A33,ZK-GWD,WD,DG-808 C
06D025AE,D-KDWD,WD,DG-808 B
06D02B5E,D-1595,WD,Discus 2
06DD51DD,G DCWD,WD,DG-100
06DDA322,D-KMWD,WD,Discus
06DDAA77,WD,WD,Discus
06DDD2ED,PH-1053,WD,LS-4
06DDDCB0,D-3841,WD,ASW-19
06DDEAC5,D-5443,WD,Duo Discus
06DDFD05,D-KKWD,WD,Ventus 2ct
06DF0C1B,D-KAWD,WD,Duo Discus xlt
06405E82,G-CRJW,W8,ASG-29E
06484B57,PH-1439,W8,LS-8 18
06D00425,D-1646,W8,LS-8
06D015E3,PH-1439,W8,LS-8 18
06D02B97,OK-0808,W8,LS-8 18
06DDD91C,D-0568,W8,LS-4
06DDDE8F,D-6131,W8,DG-800
